c_proveedor,c_articulo,c_sucu_empr,f_alta_sist,c_usuario_bloqueo,m_procesado,f_procesado,u_prefijo_oc,u_sufijo_oc,c_compra_kikker,c_usuario_modif,c_comprador,m_publicado,q_bultos_kilos_diarco
11740,70396,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,28
11740,70397,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,40
11740,70400,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,32
11740,70401,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,34
11740,70505,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,27
11740,70511,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,46
11740,70513,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,fsegobia            ,202,False,24
11740,70630,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,34
11740,70631,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,47
11740,70727,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,fsegobia            ,202,False,28
11740,70814,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,20
11740,72518,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,17
11740,72519,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,28
11740,72520,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,28
11740,72521,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,16
11740,72522,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,24
11740,72523,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,20
11740,72526,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,22
11740,72527,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,31
11740,72770,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,25
11740,73439,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,13
11740,73440,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,14
11740,73441,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,32
11740,73519,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,49
11740,73523,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,20
11740,73524,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,34
11740,81460,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,4
11740,90033,41,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,27
11740,70396,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,5
11740,70397,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,5
11740,70400,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,12
11740,70401,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,16
11740,70505,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,7
11740,70511,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,11
11740,70513,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,10
11740,70630,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,4
11740,70631,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,10
11740,70814,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,6
11740,72518,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,3
11740,72519,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,5
11740,72520,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,3
11740,72521,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,4
11740,72522,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,3
11740,72523,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,2
11740,72526,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,2
11740,72527,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,1
11740,72770,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,12
11740,73441,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,2
11740,73523,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,1
11740,90033,82,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,25
11740,70397,1,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,2
11740,70630,1,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,3
11740,70727,1,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,6
11740,70396,1,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,2
11740,70513,1,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,1
11740,72520,1,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,1
11740,70505,1,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,2
11740,72519,1,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,2
11740,70400,1,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,2
11740,70511,1,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,5
11740,70631,1,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,2
11740,72522,1,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,1
11740,72770,1,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,3
11740,90033,1,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,1
11740,72523,1,2025-10-08 11:53:02.381146,,,,,,20251008_11740_04090,,202,False,2
